,src,dest
0,/wiki/Anthropology,/wiki/History_of_anthropology
1,/wiki/Anthropology,/wiki/Anthropology_(disambiguation)
2,/wiki/Anthropology,/wiki/Outline_of_anthropology
3,/wiki/Anthropology,/wiki/Archaeology
4,/wiki/Anthropology,/wiki/Biological_anthropology
5,/wiki/Anthropology,/wiki/Cultural_anthropology
6,/wiki/Anthropology,/wiki/Linguistic_anthropology
7,/wiki/Anthropology,/wiki/Social_anthropology
8,/wiki/Anthropology,/wiki/Aerial_archaeology
9,/wiki/Anthropology,/wiki/Aviation_archaeology
10,/wiki/Anthropology,/wiki/Battlefield_archaeology
11,/wiki/Anthropology,/wiki/Biblical_archaeology
12,/wiki/Anthropology,/wiki/Bioarchaeology
13,/wiki/Anthropology,/wiki/Environmental_archaeology
14,/wiki/Anthropology,/wiki/Ethnoarchaeology
15,/wiki/Anthropology,/wiki/Experimental_archaeology
16,/wiki/Anthropology,/wiki/Feminist_archaeology
17,/wiki/Anthropology,/wiki/Forensic_anthropology
18,/wiki/Anthropology,/wiki/Maritime_archaeology
19,/wiki/Anthropology,/wiki/Paleoethnobotany
20,/wiki/Anthropology,/wiki/Zooarchaeology
21,/wiki/Anthropology,/wiki/Anthrozoology
22,/wiki/Anthropology,/wiki/Biocultural_anthropology
23,/wiki/Anthropology,/wiki/Evolutionary_anthropology
24,/wiki/Anthropology,/wiki/Molecular_anthropology
25,/wiki/Anthropology,/wiki/Neuroanthropology
26,/wiki/Anthropology,/wiki/Nutritional_anthropology
27,/wiki/Anthropology,/wiki/Paleoanthropology
28,/wiki/Anthropology,/wiki/Primatology
29,/wiki/Anthropology,/wiki/Applied_anthropology
30,/wiki/Anthropology,/wiki/Anthropology_of_art
31,/wiki/Anthropology,/wiki/Cognitive_anthropology
32,/wiki/Anthropology,/wiki/Cyborg_anthropology
33,/wiki/Anthropology,/wiki/Anthropology_of_development
34,/wiki/Anthropology,/wiki/Digital_anthropology
35,/wiki/Anthropology,/wiki/Ecological_anthropology
36,/wiki/Anthropology,/wiki/Environmental_anthropology
37,/wiki/Anthropology,/wiki/Economic_anthropology
38,/wiki/Anthropology,/wiki/Political_economy_in_anthropology
39,/wiki/Anthropology,/wiki/Feminist_anthropology
40,/wiki/Anthropology,/wiki/Anthropology_of_food
41,/wiki/Anthropology,/wiki/Ethnohistory
42,/wiki/Anthropology,/wiki/Anthropology_of_institutions
43,/wiki/Anthropology,/wiki/Kinship
44,/wiki/Anthropology,/wiki/Legal_anthropology
45,/wiki/Anthropology,/wiki/Anthropology_of_media
46,/wiki/Anthropology,/wiki/Medical_anthropology
47,/wiki/Anthropology,/wiki/Ethnomuseology
48,/wiki/Anthropology,/wiki/Ethnomusicology
49,/wiki/Anthropology,/wiki/Political_anthropology
50,/wiki/Anthropology,/wiki/Psychological_anthropology
51,/wiki/Anthropology,/wiki/Public_anthropology
52,/wiki/Anthropology,/wiki/Anthropology_of_religion
53,/wiki/Anthropology,/wiki/Symbolic_anthropology
54,/wiki/Anthropology,/wiki/Transpersonal_anthropology
55,/wiki/Anthropology,/wiki/Urban_anthropology
56,/wiki/Anthropology,/wiki/Visual_anthropology
57,/wiki/Anthropology,/wiki/Anthropological_linguistics
58,/wiki/Anthropology,/wiki/Linguistic_description
59,/wiki/Anthropology,/wiki/Ethnolinguistics
60,/wiki/Anthropology,/wiki/Ethnopoetics
61,/wiki/Anthropology,/wiki/Historical_linguistics
62,/wiki/Anthropology,/wiki/Semiotic_anthropology
63,/wiki/Anthropology,/wiki/Sociolinguistics
64,/wiki/Anthropology,/wiki/Cultural_anthropology#Methods
65,/wiki/Anthropology,/wiki/Anthropometry
66,/wiki/Anthropology,/wiki/Ethnography
67,/wiki/Anthropology,/wiki/Cyber-ethnography
68,/wiki/Anthropology,/wiki/Ethnology
69,/wiki/Anthropology,/wiki/Standard_cross-cultural_sample
70,/wiki/Anthropology,/wiki/Participant_observation
71,/wiki/Anthropology,/wiki/Holism_in_science
72,/wiki/Anthropology,/wiki/Reflexivity_(social_theory)
73,/wiki/Anthropology,/wiki/Thick_description
74,/wiki/Anthropology,/wiki/Cultural_relativism
75,/wiki/Anthropology,/wiki/Ethnocentrism
76,/wiki/Anthropology,/wiki/Emic_and_etic
77,/wiki/Anthropology,/wiki/Culture
78,/wiki/Anthropology,/wiki/Development_anthropology
79,/wiki/Anthropology,/wiki/Ethnic_group
80,/wiki/Anthropology,/wiki/Evolution
81,/wiki/Anthropology,/wiki/Sociocultural_evolution
82,/wiki/Anthropology,/wiki/Gender
83,/wiki/Anthropology,/wiki/Meme
84,/wiki/Anthropology,/wiki/Prehistory
85,/wiki/Anthropology,/wiki/Race_(human_categorization)
86,/wiki/Anthropology,/wiki/Society
87,/wiki/Anthropology,/wiki/Anthropological_theories_of_value
88,/wiki/Anthropology,/wiki/Colonialism
89,/wiki/Anthropology,/wiki/Postcolonialism
90,/wiki/Anthropology,/wiki/Actor%E2%80%93network_theory
91,/wiki/Anthropology,/wiki/Alliance_theory
92,/wiki/Anthropology,/wiki/Cross-cultural_studies
93,/wiki/Anthropology,/wiki/Cultural_materialism_(anthropology)
94,/wiki/Anthropology,/wiki/Culture_theory
95,/wiki/Anthropology,/wiki/Trans-cultural_diffusion
96,/wiki/Anthropology,/wiki/Historical_particularism
97,/wiki/Anthropology,/wiki/Boasian_anthropology
98,/wiki/Anthropology,/wiki/Structural_functionalism
99,/wiki/Anthropology,/wiki/Performance_studies
100,/wiki/Anthropology,/wiki/Practice_theory
101,/wiki/Anthropology,/wiki/Structural_anthropology
102,/wiki/Anthropology,/wiki/Post-structuralism
