,src,dest
0,/wiki/Doctor_Who,/wiki/Doctor_Who_(disambiguation)
1,/wiki/Doctor_Who,/wiki/Science_fiction
2,/wiki/Doctor_Who,/wiki/Adventure_fiction
3,/wiki/Doctor_Who,/wiki/Drama_(film_and_television)
4,/wiki/Doctor_Who,/wiki/Sydney_Newman
5,/wiki/Doctor_Who,/wiki/C._E._Webber
6,/wiki/Doctor_Who,/wiki/Donald_Wilson_(writer_and_producer)
7,/wiki/Doctor_Who,/wiki/List_of_Doctor_Who_writers
8,/wiki/Doctor_Who,/wiki/List_of_actors_who_have_played_the_Doctor
9,/wiki/Doctor_Who,/wiki/Jodie_Whittaker
10,/wiki/Doctor_Who,/wiki/Companion_(Doctor_Who)
11,/wiki/Doctor_Who,/wiki/Mandip_Gill
12,/wiki/Doctor_Who,/wiki/John_Bishop
13,/wiki/Doctor_Who,/wiki/Ron_Grainer
14,/wiki/Doctor_Who,/wiki/Doctor_Who_theme_music
15,/wiki/Doctor_Who,/wiki/List_of_Doctor_Who_composers
16,/wiki/Doctor_Who,/wiki/Segun_Akinola
17,/wiki/Doctor_Who,/wiki/Doctor_Who_missing_episodes
18,/wiki/Doctor_Who,/wiki/List_of_Doctor_Who_episodes_(1963%E2%80%931989)
19,/wiki/Doctor_Who,/wiki/List_of_Doctor_Who_episodes_(2005%E2%80%93present)
20,/wiki/Doctor_Who,/wiki/List_of_Doctor_Who_producers#Executive_producer_credits
21,/wiki/Doctor_Who,/wiki/Chris_Chibnall
22,/wiki/Doctor_Who,/wiki/Multiple-camera_setup
23,/wiki/Doctor_Who,/wiki/Single-camera_setup
24,/wiki/Doctor_Who,/wiki/BBC
25,/wiki/Doctor_Who,/wiki/Universal_Studios
26,/wiki/Doctor_Who,/wiki/BBC_Cymru_Wales
27,/wiki/Doctor_Who,/wiki/BBC_Studios
28,/wiki/Doctor_Who,/wiki/BBC_One
29,/wiki/Doctor_Who,/wiki/Fox_Broadcasting_Company
30,/wiki/Doctor_Who,/wiki/BBC_HD
31,/wiki/Doctor_Who,/wiki/BBC_One_HD
32,/wiki/Doctor_Who,/wiki/405-line
33,/wiki/Doctor_Who,/wiki/Black-and-white
34,/wiki/Doctor_Who,/wiki/625-line
35,/wiki/Doctor_Who,/wiki/PAL
36,/wiki/Doctor_Who,/wiki/NTSC
37,/wiki/Doctor_Who,/wiki/DVB-T
38,/wiki/Doctor_Who,/wiki/576i
39,/wiki/Doctor_Who,/wiki/HDTV
40,/wiki/Doctor_Who,/wiki/1080pSF
41,/wiki/Doctor_Who,/wiki/Univisium
42,/wiki/Doctor_Who,/wiki/Mono_sound
43,/wiki/Doctor_Who,/wiki/Stereophonic_sound
44,/wiki/Doctor_Who,/wiki/5.1_Surround_Sound
45,/wiki/Doctor_Who,/wiki/K-9_and_Company
46,/wiki/Doctor_Who,/wiki/Torchwood
47,/wiki/Doctor_Who,/wiki/The_Sarah_Jane_Adventures
48,/wiki/Doctor_Who,/wiki/K-9_(TV_series)
49,/wiki/Doctor_Who,/wiki/Class_(2016_TV_series)
50,/wiki/Doctor_Who,/wiki/Science_fiction_on_television
51,/wiki/Doctor_Who,/wiki/Time_Lord
52,/wiki/Doctor_Who,/wiki/The_Doctor_(Doctor_Who)
53,/wiki/Doctor_Who,/wiki/Extraterrestrial_being
54,/wiki/Doctor_Who,/wiki/Time_travel
55,/wiki/Doctor_Who,/wiki/Spacecraft
56,/wiki/Doctor_Who,/wiki/TARDIS
57,/wiki/Doctor_Who,/wiki/Police_box
58,/wiki/Doctor_Who,/wiki/List_of_Doctor_Who_villains
59,/wiki/Doctor_Who,/wiki/William_Hartnell
60,/wiki/Doctor_Who,/wiki/Regeneration_(Doctor_Who)
61,/wiki/Doctor_Who,/wiki/Incarnation
62,/wiki/Doctor_Who,/wiki/Plot_device
63,/wiki/Doctor_Who,/wiki/Popular_culture
64,/wiki/Doctor_Who,/wiki/Cult_following
65,/wiki/Doctor_Who,/wiki/Doctor_Who_fandom
66,/wiki/Doctor_Who,/wiki/Guinness_World_Records
67,/wiki/Doctor_Who,/wiki/DVD
68,/wiki/Doctor_Who,/wiki/ITunes
69,/wiki/Doctor_Who,/wiki/Backdoor_pilot
70,/wiki/Doctor_Who,/wiki/Doctor_Who_(film)
71,/wiki/Doctor_Who,/wiki/History_of_Doctor_Who#2000s
72,/wiki/Doctor_Who,/wiki/Cardiff
73,/wiki/Doctor_Who,/wiki/Doctor_Who_spin-offs
74,/wiki/Doctor_Who,/wiki/List_of_Doctor_Who_parodies
75,/wiki/Doctor_Who,/wiki/Doctor_Who_in_popular_culture
76,/wiki/Doctor_Who,/wiki/Gallifrey
77,/wiki/Doctor_Who,/wiki/Chameleon_circuit
78,/wiki/Doctor_Who,/wiki/Sonic_screwdriver
79,/wiki/Doctor_Who,/wiki/Earth
80,/wiki/Doctor_Who,/wiki/UNIT
81,/wiki/Doctor_Who,/wiki/Dalek
82,/wiki/Doctor_Who,/wiki/Davros
83,/wiki/Doctor_Who,/wiki/Cybermen
84,/wiki/Doctor_Who,/wiki/The_Master_(Doctor_Who)
85,/wiki/Doctor_Who,/wiki/History_of_Doctor_Who
86,/wiki/Doctor_Who,/wiki/Greenwich_Mean_Time
87,/wiki/Doctor_Who,/wiki/Assassination_of_John_F._Kennedy
88,/wiki/Doctor_Who,/wiki/BBC_television_drama
89,/wiki/Doctor_Who,/wiki/Anthony_Coburn
90,/wiki/Doctor_Who,/wiki/Script_editor
91,/wiki/Doctor_Who,/wiki/David_Whitaker_(screenwriter)
92,/wiki/Doctor_Who,/wiki/Verity_Lambert
93,/wiki/Doctor_Who,/wiki/Terry_Nation
94,/wiki/Doctor_Who,/wiki/Thal_(Doctor_Who)
95,/wiki/Doctor_Who,/wiki/Neutron_bomb
96,/wiki/Doctor_Who,/wiki/Bug-eyed_monster
97,/wiki/Doctor_Who,/wiki/The_Daleks
98,/wiki/Doctor_Who,/wiki/Star_Wars_(film)
99,/wiki/Doctor_Who,/wiki/Philip_Hinchcliffe
100,/wiki/Doctor_Who,/wiki/Patrick_Troughton
101,/wiki/Doctor_Who,/wiki/Jon_Pertwee
102,/wiki/Doctor_Who,/wiki/Tom_Baker
103,/wiki/Doctor_Who,/wiki/Peter_Davison
104,/wiki/Doctor_Who,/wiki/Colin_Baker
105,/wiki/Doctor_Who,/wiki/Michael_Grade
106,/wiki/Doctor_Who,/wiki/Sylvester_McCoy
107,/wiki/Doctor_Who,/wiki/Peter_Cregeen
108,/wiki/Doctor_Who,/wiki/Cancellation_(television)
109,/wiki/Doctor_Who,/wiki/Philip_Segal
110,/wiki/Doctor_Who,/wiki/Expatriate
111,/wiki/Doctor_Who,/wiki/Columbia_Pictures
112,/wiki/Doctor_Who,/wiki/International_co-production
113,/wiki/Doctor_Who,/wiki/BBC_Worldwide
114,/wiki/Doctor_Who,/wiki/Paul_McGann
115,/wiki/Doctor_Who,/wiki/BBC_Television
116,/wiki/Doctor_Who,/wiki/Russell_T_Davies
117,/wiki/Doctor_Who,/wiki/Julie_Gardner
118,/wiki/Doctor_Who,/wiki/Christopher_Eccleston
119,/wiki/Doctor_Who,/wiki/Rose_(Doctor_Who_episode)
120,/wiki/Doctor_Who,/wiki/David_Tennant
121,/wiki/Doctor_Who,/wiki/Steven_Moffat
122,/wiki/Doctor_Who,/wiki/Matt_Smith
123,/wiki/Doctor_Who,/wiki/Peter_Capaldi
124,/wiki/Doctor_Who,/wiki/COVID-19_pandemic
125,/wiki/Doctor_Who,/wiki/Bad_Wolf_(production_company)
126,/wiki/Doctor_Who,/wiki/Jane_Tranter
