,src,dest
0,/wiki/Kanye_West,/wiki/Kanye_(disambiguation)
1,/wiki/Kanye_West,/wiki/Atlanta
2,/wiki/Kanye_West,/wiki/Georgia_(U.S._state)
3,/wiki/Kanye_West,/wiki/Chicago_State_University
4,/wiki/Kanye_West,/wiki/DONDA
5,/wiki/Kanye_West,/wiki/Independent_politician
6,/wiki/Kanye_West,/wiki/Kim_Kardashian
7,/wiki/Kanye_West,/wiki/The_World_Famous_Tony_Williams
8,/wiki/Kanye_West,/wiki/List_of_awards_and_nominations_received_by_Kanye_West
9,/wiki/Kanye_West,/wiki/Chicago
10,/wiki/Kanye_West,/wiki/Illinois
11,/wiki/Kanye_West,/wiki/Hip_hop_music
12,/wiki/Kanye_West,/wiki/Pop_music
13,/wiki/Kanye_West,/wiki/Experimental_music
14,/wiki/Kanye_West,/wiki/Vocals
15,/wiki/Kanye_West,/wiki/Sampler_(musical_instrument)
16,/wiki/Kanye_West,/wiki/Keyboard_instrument
17,/wiki/Kanye_West,/wiki/Drum_machine
18,/wiki/Kanye_West,/wiki/GOOD_Music
19,/wiki/Kanye_West,/wiki/Roc-A-Fella_Records
20,/wiki/Kanye_West,/wiki/Def_Jam_Recordings
21,/wiki/Kanye_West,/wiki/Child_Rebel_Soldier
22,/wiki/Kanye_West,/wiki/Kids_See_Ghosts
23,/wiki/Kanye_West,/wiki/Sunday_Service_Choir
24,/wiki/Kanye_West,/wiki/Big_Sean
25,/wiki/Kanye_West,/wiki/Common_(rapper)
26,/wiki/Kanye_West,/wiki/Consequence_(rapper)
27,/wiki/Kanye_West,/wiki/Jay-Z
28,/wiki/Kanye_West,/wiki/John_Legend
29,/wiki/Kanye_West,/wiki/Mike_Dean_(record_producer)
30,/wiki/Kanye_West,/wiki/No_I.D.
31,/wiki/Kanye_West,/wiki/Pusha_T
32,/wiki/Kanye_West,/wiki/Rihanna
33,/wiki/Kanye_West,/wiki/Ty_Dolla_Sign
34,/wiki/Kanye_West,/wiki/Mainstream_hip_hop
35,/wiki/Kanye_West,/wiki/Popular_music
36,/wiki/Kanye_West,/wiki/Popular_culture
37,/wiki/Kanye_West,/wiki/Kanye_West_production_discography
38,/wiki/Kanye_West,/wiki/The_College_Dropout
39,/wiki/Kanye_West,/wiki/Music_genre
40,/wiki/Kanye_West,/wiki/Late_Registration
41,/wiki/Kanye_West,/wiki/Graduation_(album)
42,/wiki/Kanye_West,/wiki/808s_%26_Heartbreak
43,/wiki/Kanye_West,/wiki/Maximalism
44,/wiki/Kanye_West,/wiki/Minimal_music
45,/wiki/Kanye_West,/wiki/My_Beautiful_Dark_Twisted_Fantasy
46,/wiki/Kanye_West,/wiki/Yeezus
