,src,dest
0,/wiki/Kerbal_Space_Program,/wiki/Video_game_developer
1,/wiki/Kerbal_Space_Program,/wiki/Squad_(company)
2,/wiki/Kerbal_Space_Program,/wiki/Video_game_publisher
3,/wiki/Kerbal_Space_Program,/wiki/Private_Division
4,/wiki/Kerbal_Space_Program,/wiki/Video_game_producer
5,/wiki/Kerbal_Space_Program,/wiki/Video_game_designer
6,/wiki/Kerbal_Space_Program,/wiki/Video_game_programmer
7,/wiki/Kerbal_Space_Program,/wiki/Video_game_artist
8,/wiki/Kerbal_Space_Program,/wiki/Video_game_composer
9,/wiki/Kerbal_Space_Program,/wiki/Game_engine
10,/wiki/Kerbal_Space_Program,/wiki/Unity_(game_engine)
11,/wiki/Kerbal_Space_Program,/wiki/Computing_platform
12,/wiki/Kerbal_Space_Program,/wiki/Microsoft_Windows
13,/wiki/Kerbal_Space_Program,/wiki/MacOS
14,/wiki/Kerbal_Space_Program,/wiki/Linux
15,/wiki/Kerbal_Space_Program,/wiki/PlayStation_4
16,/wiki/Kerbal_Space_Program,/wiki/Xbox_One
17,/wiki/Kerbal_Space_Program,/wiki/PlayStation_5
18,/wiki/Kerbal_Space_Program,/wiki/Xbox_Series_X/S
19,/wiki/Kerbal_Space_Program,/wiki/North_America
20,/wiki/Kerbal_Space_Program,/wiki/Video_game_genre
21,/wiki/Kerbal_Space_Program,/wiki/Space_flight_simulation_game
22,/wiki/Kerbal_Space_Program,/wiki/Single-player_video_game
23,/wiki/Kerbal_Space_Program,/wiki/Space_program
24,/wiki/Kerbal_Space_Program,/wiki/Humanoid
25,/wiki/Kerbal_Space_Program,/wiki/Physics_engine
26,/wiki/Kerbal_Space_Program,/wiki/Orbital_maneuver
27,/wiki/Kerbal_Space_Program,/wiki/Hohmann_transfer_orbit
28,/wiki/Kerbal_Space_Program,/wiki/Orbital_rendezvous
29,/wiki/Kerbal_Space_Program,/wiki/Steam_(service)
30,/wiki/Kerbal_Space_Program,/wiki/Steam_Early_Access
31,/wiki/Kerbal_Space_Program,/wiki/Software_testing
32,/wiki/Kerbal_Space_Program,/wiki/Mod_(computer_gaming)
33,/wiki/Kerbal_Space_Program,/wiki/NASA
34,/wiki/Kerbal_Space_Program,/wiki/European_Space_Agency
35,/wiki/Kerbal_Space_Program,/wiki/Tory_Bruno
36,/wiki/Kerbal_Space_Program,/wiki/Peter_Beck
37,/wiki/Kerbal_Space_Program,/wiki/Rocket_Lab
38,/wiki/Kerbal_Space_Program,/wiki/Take-Two_Interactive
39,/wiki/Kerbal_Space_Program,/wiki/Downloadable_content
40,/wiki/Kerbal_Space_Program,/wiki/Kerbal_Space_Program_2
41,/wiki/Kerbal_Space_Program,/wiki/Spaceport
42,/wiki/Kerbal_Space_Program,/wiki/Space_Center
43,/wiki/Kerbal_Space_Program,/wiki/Rocket
44,/wiki/Kerbal_Space_Program,/wiki/Spaceplane
45,/wiki/Kerbal_Space_Program,/wiki/Rover_(space_exploration)
46,/wiki/Kerbal_Space_Program,/wiki/Launch_pad
47,/wiki/Kerbal_Space_Program,/wiki/Runway
48,/wiki/Kerbal_Space_Program,/wiki/Catastrophic_failure
