,src,dest
0,/wiki/Philosophy,/wiki/Philosophy_(disambiguation)
1,/wiki/Philosophy,/wiki/The_School_of_Athens
2,/wiki/Philosophy,/wiki/Raphael
3,/wiki/Philosophy,/wiki/Ancient_Greek_philosophy
4,/wiki/Philosophy,/wiki/Ancient_Greek_architecture
5,/wiki/Philosophy,/wiki/Plato
6,/wiki/Philosophy,/wiki/Immanuel_Kant
7,/wiki/Philosophy,/wiki/Friedrich_Nietzsche
8,/wiki/Philosophy,/wiki/Gautama_Buddha
9,/wiki/Philosophy,/wiki/Confucius
10,/wiki/Philosophy,/wiki/Averroes
11,/wiki/Philosophy,/wiki/Aesthetics
12,/wiki/Philosophy,/wiki/Axiology
13,/wiki/Philosophy,/wiki/Cosmology_(philosophy)
14,/wiki/Philosophy,/wiki/Epistemology
15,/wiki/Philosophy,/wiki/Ethics
16,/wiki/Philosophy,/wiki/Philosophy_of_law
17,/wiki/Philosophy,/wiki/Logic
18,/wiki/Philosophy,/wiki/Metaphilosophy
19,/wiki/Philosophy,/wiki/Metaphysics
20,/wiki/Philosophy,/wiki/Philosophy_of_language
21,/wiki/Philosophy,/wiki/Philosophy_of_mind
22,/wiki/Philosophy,/wiki/Philosophy_of_science
23,/wiki/Philosophy,/wiki/Political_philosophy
24,/wiki/Philosophy,/wiki/Philosophy_of_religion
25,/wiki/Philosophy,/wiki/Social_philosophy
26,/wiki/Philosophy,/wiki/Ancient_philosophy
27,/wiki/Philosophy,/wiki/Medieval_philosophy
28,/wiki/Philosophy,/wiki/Modern_philosophy
29,/wiki/Philosophy,/wiki/Contemporary_philosophy
30,/wiki/Philosophy,/wiki/Analytic_philosophy
31,/wiki/Philosophy,/wiki/Logical_positivism
32,/wiki/Philosophy,/wiki/Ordinary_language_philosophy
33,/wiki/Philosophy,/wiki/Aristotelianism
34,/wiki/Philosophy,/wiki/Buddhist_philosophy
35,/wiki/Philosophy,/wiki/Abhidharma
36,/wiki/Philosophy,/wiki/Madhyamaka
37,/wiki/Philosophy,/wiki/Buddhist_logico-epistemology
38,/wiki/Philosophy,/wiki/Yogacara
39,/wiki/Philosophy,/wiki/Charvaka
40,/wiki/Philosophy,/wiki/Christian_philosophy
41,/wiki/Philosophy,/wiki/Augustinianism
42,/wiki/Philosophy,/wiki/Christian_humanism
43,/wiki/Philosophy,/wiki/Scotism
44,/wiki/Philosophy,/wiki/Thomism
45,/wiki/Philosophy,/wiki/Occamism
46,/wiki/Philosophy,/wiki/Confucianism
47,/wiki/Philosophy,/wiki/Neo-Confucianism
48,/wiki/Philosophy,/wiki/New_Confucianism
49,/wiki/Philosophy,/wiki/Continental_philosophy
50,/wiki/Philosophy,/wiki/Existentialism
51,/wiki/Philosophy,/wiki/Phenomenology_(philosophy)
52,/wiki/Philosophy,/wiki/Hegelianism
53,/wiki/Philosophy,/wiki/Hindu_philosophy
54,/wiki/Philosophy,/wiki/M%C4%ABm%C4%81%E1%B9%83s%C4%81
55,/wiki/Philosophy,/wiki/Nyaya
56,/wiki/Philosophy,/wiki/Vaisheshika
57,/wiki/Philosophy,/wiki/Samkhya
58,/wiki/Philosophy,/wiki/Vedanta
59,/wiki/Philosophy,/wiki/Islamic_philosophy
60,/wiki/Philosophy,/wiki/Ash%27ari
61,/wiki/Philosophy,/wiki/Early_Islamic_philosophy
62,/wiki/Philosophy,/wiki/Averroism
63,/wiki/Philosophy,/wiki/Avicennism
64,/wiki/Philosophy,/wiki/Illuminationism
65,/wiki/Philosophy,/wiki/Isma%27ilism
66,/wiki/Philosophy,/wiki/Sufi_philosophy
67,/wiki/Philosophy,/wiki/Jain_philosophy
68,/wiki/Philosophy,/wiki/Jewish_philosophy
69,/wiki/Philosophy,/wiki/Judeo-Islamic_philosophies_(800%E2%80%931400)
70,/wiki/Philosophy,/wiki/Kantianism
71,/wiki/Philosophy,/wiki/Legalism_(Chinese_philosophy)
72,/wiki/Philosophy,/wiki/Platonism
73,/wiki/Philosophy,/wiki/Neoplatonism
74,/wiki/Philosophy,/wiki/Pragmatism
75,/wiki/Philosophy,/wiki/Philosophical_skepticism
76,/wiki/Philosophy,/wiki/Taoist_philosophy
77,/wiki/Philosophy,/wiki/African_philosophy
78,/wiki/Philosophy,/wiki/Eastern_philosophy
79,/wiki/Philosophy,/wiki/Chinese_philosophy
80,/wiki/Philosophy,/wiki/Indian_philosophy
81,/wiki/Philosophy,/wiki/Middle_Eastern_philosophy
82,/wiki/Philosophy,/wiki/Ancient_Egyptian_philosophy
83,/wiki/Philosophy,/wiki/Iranian_philosophy
84,/wiki/Philosophy,/wiki/Western_philosophy
85,/wiki/Philosophy,/wiki/List_of_aestheticians
86,/wiki/Philosophy,/wiki/List_of_epistemologists
87,/wiki/Philosophy,/wiki/List_of_ethicists
88,/wiki/Philosophy,/wiki/List_of_logicians
89,/wiki/Philosophy,/wiki/List_of_metaphysicians
90,/wiki/Philosophy,/wiki/Index_of_sociopolitical_thinkers
91,/wiki/Philosophy,/wiki/Women_in_philosophy
92,/wiki/Philosophy,/wiki/Index_of_philosophy
93,/wiki/Philosophy,/wiki/Outline_of_philosophy
94,/wiki/Philosophy,/wiki/List_of_years_in_philosophy
95,/wiki/Philosophy,/wiki/List_of_unsolved_problems_in_philosophy
96,/wiki/Philosophy,/wiki/List_of_important_publications_in_philosophy
97,/wiki/Philosophy,/wiki/List_of_philosophies
98,/wiki/Philosophy,/wiki/Glossary_of_philosophy
99,/wiki/Philosophy,/wiki/Lists_of_philosophers
100,/wiki/Philosophy,/wiki/Greek_language
101,/wiki/Philosophy,/wiki/Reason
102,/wiki/Philosophy,/wiki/Pythagoras
103,/wiki/Philosophy,/wiki/Philosophical_methodology
104,/wiki/Philosophy,/wiki/Socratic_questioning
105,/wiki/Philosophy,/wiki/Socratic_method
106,/wiki/Philosophy,/wiki/Dialectic
107,/wiki/Philosophy,/wiki/Philosopher
108,/wiki/Philosophy,/wiki/Ancient_Greek
109,/wiki/Philosophy,/wiki/Aristotle
110,/wiki/Philosophy,/wiki/Natural_philosophy
111,/wiki/Philosophy,/wiki/Astronomy
112,/wiki/Philosophy,/wiki/Medicine
113,/wiki/Philosophy,/wiki/Physics
114,/wiki/Philosophy,/wiki/Isaac_Newton
115,/wiki/Philosophy,/wiki/Philosophi%C3%A6_Naturalis_Principia_Mathematica
116,/wiki/Philosophy,/wiki/University
117,/wiki/Philosophy,/wiki/Psychology
118,/wiki/Philosophy,/wiki/Sociology
119,/wiki/Philosophy,/wiki/Linguistics
120,/wiki/Philosophy,/wiki/Economics
121,/wiki/Philosophy,/wiki/Existence
122,/wiki/Philosophy,/wiki/Reality
123,/wiki/Philosophy,/wiki/Knowledge
124,/wiki/Philosophy,/wiki/Belief
125,/wiki/Philosophy,/wiki/Value_(ethics)
126,/wiki/Philosophy,/wiki/Rules_of_inference
127,/wiki/Philosophy,/wiki/Consequent
128,/wiki/Philosophy,/wiki/Truth
129,/wiki/Philosophy,/wiki/Premises
130,/wiki/Philosophy,/wiki/Lives_and_Opinions_of_Eminent_Philosophers
131,/wiki/Philosophy,/wiki/Diogenes_La%C3%ABrtius
132,/wiki/Philosophy,/wiki/Science
133,/wiki/Philosophy,/wiki/Literal_translation
134,/wiki/Philosophy,/wiki/God
135,/wiki/Philosophy,/wiki/Universal_(metaphysics)
136,/wiki/Philosophy,/wiki/Physics_(Aristotle)
137,/wiki/Philosophy,/wiki/Pyrrhonism
138,/wiki/Philosophy,/wiki/Sextus_Empiricus
139,/wiki/Philosophy,/wiki/Academic_skepticism
140,/wiki/Philosophy,/wiki/Cicero
141,/wiki/Philosophy,/wiki/Chemistry
142,/wiki/Philosophy,/wiki/Biology
143,/wiki/Philosophy,/wiki/Cosmology
144,/wiki/Philosophy,/wiki/Social_science
145,/wiki/Philosophy,/wiki/Value_theory
146,/wiki/Philosophy,/wiki/Mathematics
147,/wiki/Philosophy,/wiki/Colin_McGinn
148,/wiki/Philosophy,/wiki/Philosophical_progress
149,/wiki/Philosophy,/wiki/David_Chalmers
150,/wiki/Philosophy,/wiki/Wisdom
151,/wiki/Philosophy,/wiki/Morality
152,/wiki/Philosophy,/wiki/Stagira
153,/wiki/Philosophy,/wiki/Western_world
154,/wiki/Philosophy,/wiki/Pre-Socratic_philosophy
155,/wiki/Philosophy,/wiki/Ancient_Greece
156,/wiki/Philosophy,/wiki/Thales
157,/wiki/Philosophy,/wiki/Circa
158,/wiki/Philosophy,/wiki/Latin_language
159,/wiki/Philosophy,/wiki/Greco-Roman_world
160,/wiki/Philosophy,/wiki/Socrates
161,/wiki/Philosophy,/wiki/Platonic_Academy
162,/wiki/Philosophy,/wiki/Peripatetic_school
163,/wiki/Philosophy,/wiki/Cynicism_(philosophy)
164,/wiki/Philosophy,/wiki/Cyrenaics
165,/wiki/Philosophy,/wiki/Stoicism
166,/wiki/Philosophy,/wiki/Academic_Skepticism
167,/wiki/Philosophy,/wiki/Democritus
168,/wiki/Philosophy,/wiki/Epicureanism
169,/wiki/Philosophy,/wiki/Atomism
170,/wiki/Philosophy,/wiki/Monism
171,/wiki/Philosophy,/wiki/Eudaimonia
172,/wiki/Philosophy,/wiki/Logos
173,/wiki/Philosophy,/wiki/Roman_empire
174,/wiki/Philosophy,/wiki/Latin
175,/wiki/Philosophy,/wiki/Ancient_Rome
176,/wiki/Philosophy,/wiki/Seneca_the_Younger
177,/wiki/Philosophy,/wiki/Roman_philosophy
178,/wiki/Philosophy,/wiki/Western_Roman_Empire
179,/wiki/Philosophy,/wiki/Christianity
180,/wiki/Philosophy,/wiki/Judeo-Christian
181,/wiki/Philosophy,/wiki/Faith
182,/wiki/Philosophy,/wiki/Problem_of_evil
183,/wiki/Philosophy,/wiki/St._Augustine
184,/wiki/Philosophy,/wiki/Thomas_Aquinas
185,/wiki/Philosophy,/wiki/Boethius
186,/wiki/Philosophy,/wiki/Anselm_of_Laon
187,/wiki/Philosophy,/wiki/Roger_Bacon
188,/wiki/Philosophy,/wiki/Theology
189,/wiki/Philosophy,/wiki/Scholasticism
190,/wiki/Philosophy,/wiki/Medieval_universities
191,/wiki/Philosophy,/wiki/Renaissance
192,/wiki/Philosophy,/wiki/Humanism
193,/wiki/Philosophy,/wiki/Christian_Jakob_Kraus
194,/wiki/Philosophy,/wiki/Johann_Georg_Hamann
195,/wiki/Philosophy,/wiki/Theodor_Gottlieb_von_Hippel_the_Elder
196,/wiki/Philosophy,/wiki/Karl_Gottfried_Hagen
197,/wiki/Philosophy,/wiki/Early_modern_philosophy
198,/wiki/Philosophy,/wiki/Thomas_Hobbes
199,/wiki/Philosophy,/wiki/Ren%C3%A9_Descartes
200,/wiki/Philosophy,/wiki/Spinoza
201,/wiki/Philosophy,/wiki/Gottfried_Wilhelm_Leibniz
202,/wiki/Philosophy,/wiki/John_Locke
203,/wiki/Philosophy,/wiki/George_Berkeley
204,/wiki/Philosophy,/wiki/David_Hume
205,/wiki/Philosophy,/wiki/19th-century_philosophy
206,/wiki/Philosophy,/wiki/Late_modern_philosophy
207,/wiki/Philosophy,/wiki/The_Enlightenment
208,/wiki/Philosophy,/wiki/Hegel
209,/wiki/Philosophy,/wiki/German_idealism
210,/wiki/Philosophy,/wiki/Kierkegaard
211,/wiki/Philosophy,/wiki/Nietzsche
212,/wiki/Philosophy,/wiki/John_Stuart_Mill
213,/wiki/Philosophy,/wiki/Utilitarianism
214,/wiki/Philosophy,/wiki/Karl_Marx
215,/wiki/Philosophy,/wiki/Communism
216,/wiki/Philosophy,/wiki/William_James
217,/wiki/Philosophy,/wiki/Linguistic_turn
218,/wiki/Philosophy,/wiki/Fertile_Crescent
219,/wiki/Philosophy,/wiki/Iran
220,/wiki/Philosophy,/wiki/Arabia
221,/wiki/Philosophy,/wiki/Islamic_culture
222,/wiki/Philosophy,/wiki/Wisdom_literature
223,/wiki/Philosophy,/wiki/Ancient_Egypt
224,/wiki/Philosophy,/wiki/Sebayt
225,/wiki/Philosophy,/wiki/Babylonian_astronomy
