,src,dest
0,/wiki/Studio_Ghibli,/wiki/Romanization
1,/wiki/Studio_Ghibli,/wiki/Kabushiki_gaisha
2,/wiki/Studio_Ghibli,/wiki/Topcraft
3,/wiki/Studio_Ghibli,/wiki/Tokyo
4,/wiki/Studio_Ghibli,/wiki/Hayao_Miyazaki
5,/wiki/Studio_Ghibli,/wiki/Toshio_Suzuki_(producer)
6,/wiki/Studio_Ghibli,/wiki/Isao_Takahata
7,/wiki/Studio_Ghibli,/wiki/Gor%C5%8D_Miyazaki
8,/wiki/Studio_Ghibli,"/wiki/Koganei,_Tokyo"
9,/wiki/Studio_Ghibli,/wiki/Animated_feature_film
10,/wiki/Studio_Ghibli,/wiki/Net_income
11,/wiki/Studio_Ghibli,/wiki/Asset
12,/wiki/Studio_Ghibli,/wiki/Parent_company
13,/wiki/Studio_Ghibli,/wiki/Tokuma_Shoten
14,/wiki/Studio_Ghibli,/wiki/Japanese_language
15,/wiki/Studio_Ghibli,/wiki/Hepburn_romanization
16,/wiki/Studio_Ghibli,/wiki/Anime
17,/wiki/Studio_Ghibli,/wiki/My_Neighbor_Totoro
18,/wiki/Studio_Ghibli,/wiki/Spirited_Away
19,/wiki/Studio_Ghibli,/wiki/Howl%27s_Moving_Castle_(film)
20,/wiki/Studio_Ghibli,/wiki/Ponyo
21,/wiki/Studio_Ghibli,/wiki/Nausica%C3%A4_of_the_Valley_of_the_Wind_(film)
22,/wiki/Studio_Ghibli,/wiki/List_of_highest-grossing_anime_films
23,/wiki/Studio_Ghibli,/wiki/Princess_Mononoke
24,/wiki/Studio_Ghibli,/wiki/Animage
25,/wiki/Studio_Ghibli,/wiki/Japan_Academy_Prize_for_Animation_of_the_Year
26,/wiki/Studio_Ghibli,/wiki/Academy_Award
27,/wiki/Studio_Ghibli,/wiki/Golden_Bear
28,/wiki/Studio_Ghibli,/wiki/75th_Academy_Awards
29,/wiki/Studio_Ghibli,/wiki/Academy_Award_for_Best_Animated_Feature
30,/wiki/Studio_Ghibli,/wiki/How_Do_You_Live%3F_(film)
31,/wiki/Studio_Ghibli,/wiki/Italian_language
32,/wiki/Studio_Ghibli,/wiki/Libyan_Arabic
33,/wiki/Studio_Ghibli,/wiki/Sirocco
34,/wiki/Studio_Ghibli,/wiki/Caproni_Ca.309
35,/wiki/Studio_Ghibli,/wiki/Hard_g
